company_name,lever_slug,lever_jobs_url,lever_api_url,source_dataset,first_seen_in_dataset,last_seen_in_dataset,job_count_in_dataset,validated,validated_at,validation_status
Tagup,tagup,https://jobs.lever.co/tagup,https://api.lever.co/v0/postings/tagup?mode=json,open-apply-jobs,2025-01-29,2026-06-18,381,,,
Tahoebio Ai,tahoebio-ai,https://jobs.lever.co/tahoebio-ai,https://api.lever.co/v0/postings/tahoebio-ai?mode=json,open-apply-jobs,2022-12-01,2026-03-17,208,,,
Tala,tala,https://jobs.lever.co/tala,https://api.lever.co/v0/postings/tala?mode=json,open-apply-jobs,2025-08-06,2026-06-23,785,,,
Talentwerx.Io,talentwerx.io,https://jobs.lever.co/talentwerx.io,https://api.lever.co/v0/postings/talentwerx.io?mode=json,open-apply-jobs,2024-12-05,2026-06-26,1763,,,
Tandh,tandh,https://jobs.lever.co/tandh,https://api.lever.co/v0/postings/tandh?mode=json,open-apply-jobs,2026-04-07,2026-06-26,1923,,,
Tangraminteriors,tangraminteriors,https://jobs.lever.co/tangraminteriors,https://api.lever.co/v0/postings/tangraminteriors?mode=json,open-apply-jobs,2020-05-27,2026-03-03,1005,,,
Teambuilders,teambuilders,https://jobs.lever.co/teambuilders,https://api.lever.co/v0/postings/teambuilders?mode=json,open-apply-jobs,2021-05-18,2026-06-22,682,,,
Teamshares,teamshares,https://jobs.lever.co/teamshares,https://api.lever.co/v0/postings/teamshares?mode=json,open-apply-jobs,2023-09-06,2026-06-25,997,,,
Teamsnap,teamsnap,https://jobs.lever.co/teamsnap,https://api.lever.co/v0/postings/teamsnap?mode=json,open-apply-jobs,2025-11-13,2026-06-22,292,,,
Technexus,technexus,https://jobs.lever.co/technexus,https://api.lever.co/v0/postings/technexus?mode=json,open-apply-jobs,2020-07-29,2025-04-28,125,,,
Teck,teck-2,https://jobs.lever.co/teck-2,https://api.lever.co/v0/postings/teck-2?mode=json,open-apply-jobs,2026-03-06,2026-03-11,116,,,
Teecom,teecom,https://jobs.lever.co/teecom,https://api.lever.co/v0/postings/teecom?mode=json,open-apply-jobs,2025-05-04,2026-06-24,3053,,,
Teikametrics,teikametrics,https://jobs.lever.co/teikametrics,https://api.lever.co/v0/postings/teikametrics?mode=json,open-apply-jobs,2025-03-15,2026-06-17,443,,,
Tektome,tektome,https://jobs.lever.co/tektome,https://api.lever.co/v0/postings/tektome?mode=json,open-apply-jobs,2025-03-24,2025-07-25,320,,,
Tekton,tekton,https://jobs.lever.co/tekton,https://api.lever.co/v0/postings/tekton?mode=json,open-apply-jobs,2020-02-26,2026-06-16,706,,,
Telda.App,telda.app,https://jobs.lever.co/telda.app,https://api.lever.co/v0/postings/telda.app?mode=json,open-apply-jobs,2024-11-04,2025-11-18,155,,,
Teleo,teleo,https://jobs.lever.co/teleo,https://api.lever.co/v0/postings/teleo?mode=json,open-apply-jobs,2022-10-26,2026-06-04,646,,,
Telesat,telesat,https://jobs.lever.co/telesat,https://api.lever.co/v0/postings/telesat?mode=json,open-apply-jobs,2023-08-24,2026-06-25,2968,,,
Teller,teller,https://jobs.lever.co/teller,https://api.lever.co/v0/postings/teller?mode=json,open-apply-jobs,2019-09-24,2022-11-10,192,,,
Telligen,telligen,https://jobs.lever.co/telligen,https://api.lever.co/v0/postings/telligen?mode=json,open-apply-jobs,2026-02-05,2026-06-23,377,,,
Tendo,tendo,https://jobs.lever.co/tendo,https://api.lever.co/v0/postings/tendo?mode=json,open-apply-jobs,2024-03-09,2026-04-21,1012,,,
Teramind,teramind,https://jobs.lever.co/teramind,https://api.lever.co/v0/postings/teramind?mode=json,open-apply-jobs,2025-06-26,2026-06-22,1259,,,
Terawattinfrastructure,terawattinfrastructure,https://jobs.lever.co/terawattinfrastructure,https://api.lever.co/v0/postings/terawattinfrastructure?mode=json,open-apply-jobs,2022-02-28,2026-06-23,521,,,
Terraformation,terraformation,https://jobs.lever.co/terraformation,https://api.lever.co/v0/postings/terraformation?mode=json,open-apply-jobs,2026-03-09,2026-06-13,125,,,
Terrahq,terrahq,https://jobs.lever.co/terrahq,https://api.lever.co/v0/postings/terrahq?mode=json,open-apply-jobs,2023-09-15,2026-06-04,330,,,
Terrascend,terrascend,https://jobs.lever.co/terrascend,https://api.lever.co/v0/postings/terrascend?mode=json,open-apply-jobs,2026-01-08,2026-06-23,2127,,,
Tesorio,tesorio,https://jobs.lever.co/tesorio,https://api.lever.co/v0/postings/tesorio?mode=json,open-apply-jobs,2026-04-29,2026-04-29,25,,,
Tevora,tevora,https://jobs.lever.co/tevora,https://api.lever.co/v0/postings/tevora?mode=json,open-apply-jobs,2025-11-04,2026-06-09,635,,,
Textnow,textnow,https://jobs.lever.co/textnow,https://api.lever.co/v0/postings/textnow?mode=json,open-apply-jobs,2022-03-15,2026-04-24,816,,,
Thalolabs,thalolabs,https://jobs.lever.co/thalolabs,https://api.lever.co/v0/postings/thalolabs?mode=json,open-apply-jobs,2024-03-21,2026-02-17,128,,,
Thea.Energy,thea.energy,https://jobs.lever.co/thea.energy,https://api.lever.co/v0/postings/thea.energy?mode=json,open-apply-jobs,2023-12-05,2026-06-24,2250,,,
Theathletic,theathletic,https://jobs.lever.co/theathletic,https://api.lever.co/v0/postings/theathletic?mode=json,open-apply-jobs,2025-08-28,2026-06-26,720,,,
Theblacktux,theblacktux,https://jobs.lever.co/theblacktux,https://api.lever.co/v0/postings/theblacktux?mode=json,open-apply-jobs,2020-12-05,2026-06-25,985,,,
Theblockcrypto,theblockcrypto,https://jobs.lever.co/theblockcrypto,https://api.lever.co/v0/postings/theblockcrypto?mode=json,open-apply-jobs,2025-08-13,2025-11-20,210,,,
Thebouqs.Com,thebouqs.com,https://jobs.lever.co/thebouqs.com,https://api.lever.co/v0/postings/thebouqs.com?mode=json,open-apply-jobs,2025-12-15,2026-05-26,130,,,
Thedispatch,thedispatch,https://jobs.lever.co/thedispatch,https://api.lever.co/v0/postings/thedispatch?mode=json,open-apply-jobs,2026-01-14,2026-05-13,214,,,
Theex,theex,https://jobs.lever.co/theex,https://api.lever.co/v0/postings/theex?mode=json,open-apply-jobs,2026-05-11,2026-05-20,777,,,
Thefp,thefp,https://jobs.lever.co/thefp,https://api.lever.co/v0/postings/thefp?mode=json,open-apply-jobs,2025-09-24,2026-06-01,276,,,
Thefreeosk,thefreeosk,https://jobs.lever.co/thefreeosk,https://api.lever.co/v0/postings/thefreeosk?mode=json,open-apply-jobs,2026-02-23,2026-06-24,100,,,
Thehousemajoritypac,thehousemajoritypac,https://jobs.lever.co/thehousemajoritypac,https://api.lever.co/v0/postings/thehousemajoritypac?mode=json,open-apply-jobs,2021-11-01,2026-06-04,102,,,
Theinformationlab,theinformationlab,https://jobs.lever.co/theinformationlab,https://api.lever.co/v0/postings/theinformationlab?mode=json,open-apply-jobs,2022-04-27,2026-04-13,289,,,
Thekrazycouponlady,thekrazycouponlady,https://jobs.lever.co/thekrazycouponlady,https://api.lever.co/v0/postings/thekrazycouponlady?mode=json,open-apply-jobs,2026-05-08,2026-05-08,1,,,
Theodo,theodo,https://jobs.lever.co/theodo,https://api.lever.co/v0/postings/theodo?mode=json,open-apply-jobs,2022-02-14,2026-06-25,9532,,,
Thepeoplebrand,thepeoplebrand,https://jobs.lever.co/thepeoplebrand,https://api.lever.co/v0/postings/thepeoplebrand?mode=json,open-apply-jobs,2025-07-17,2026-06-23,1119,,,
